Timestamp,Employer,Location,Job Title,Years at Employer,Years of Experience, Annual Base Pay 
3/21/2016 14:20,Gest,Austin,CEO,1.00,1.00,"$36,000.00"
3/22/2016 3:28,Goldman Sachs,London,Analyst,1.00,1.00,"$39,000.00"
3/21/2016 17:25,Google,Bay area,Site Reliability Engineer,1.00,1.00,"$110,000.00"
3/21/2016 19:20,Google,Los Angeles,Software Engineer 2,1.00,1.00,"$108,000.00"
3/21/2016 15:27,google,mountain view,swe (level 3),1.00,1.00,"$110,000.00"
3/21/2016 21:03,Google,Mountain View,Software Engineer II,1.00,1.00,"$114,500.00"
3/21/2016 13:50,Google,New York,Software Engineer,1.00,1.00,"$115,000.00"
3/22/2016 5:32,Grab,Singapore,SDE 1,1.00,1.00,"$70,000.00"
3/21/2016 13:26,Hewlett Packard Enterprise,Sunnyvale,Software Engineer,1.00,1.00,"$100,000.00"
3/21/2016 14:16,IBM,"Austin, TX",Software Engineer,1.00,1.00,"$101,000.00"
3/21/2016 13:15,IBM,Chicago,Linux Engineer,1.00,1.00,"$84,000.00"
3/21/2016 22:27,IBM Watson,San Jose,Software Engineer,1.00,1.00,"$87,000.00"
3/22/2016 1:16,Intuit,"Mountain View, CA",Software Engineer I,1.00,1.00,"$100,000.00"
3/21/2016 13:58,Intuit,San Francisco,Software Engineer II,1.00,1.00,"$110,000.00"
3/21/2016 13:17,Investment Bank,"New York, NY",M&A Analyst,1.00,1.00,"$85,000.00"
3/21/2016 13:39,LivePerson,"Atlanta, Georgia",DevOps Engineer,1.00,1.00,"$46,999.00"
3/22/2016 19:20,LocalEdge,Buffalo,Software Developer,1.00,1.00,"$61,500.00"
3/21/2016 13:40,Lockheed Martin,"Owego, NY",Associate electrical engineer,1.00,1.00,"$60,528.00"
3/25/2016 7:43,Looking,El Segundo,Web Developer,1.00,1.00,"$52,500.00"
3/25/2016 7:44,Looking,Los Angeles,Web Developer,1.00,1.00,"$52,500.00"
3/21/2016 18:59,Microsoft,Redmond,SDE I,1.00,1.00,"$105,000.00"
3/21/2016 13:14,Microsoft,"Redmond, WA",Software engineer 1,1.00,1.00,"$105,000.00"
3/21/2016 21:07,Microsoft,"Redmond, WA",Software Engineer,1.00,1.00,"$112,500.00"
3/21/2016 13:34,Microsoft,Seattle,Software Engineer,1.00,1.00,"$105,000.00"
3/21/2016 14:20,Microsoft,Seattle,Software engineer I,1.00,1.00,"$105,000.00"
3/21/2016 14:13,Midsized Company,Midwest,Data Architect,1.00,1.00,"$74,000.00"
3/21/2016 13:41,Midstage Startup,"San Francisco, CA",Software Developer,1.00,1.00,"$120,000.00"
3/21/2016 14:13,Misc,Halifax,Data Scientist,1.00,1.00,"$55,000.00"
3/21/2016 14:03,N/A,"Missor, USA",Software Developer,1.00,1.00,"$45,000.00"
3/21/2016 13:42,NASA,Washington DC,Software Engineer,1.00,1.00,"$78,000.00"
3/25/2016 13:11,Nest Labs,Palo Alto,Software Engineer II,1.00,1.00,"$105,000.00"
3/21/2016 14:01,NetSpend,"Austin, TX",Front-End Developer,1.00,1.00,"$72,000.00"
3/21/2016 15:06,NGO,Sweden,Lead Engineer,1.00,1.00,"$44,000.00"
3/21/2016 18:27,nyt,nyc,software engineer,1.00,1.00,"$100,250.00"
3/21/2016 21:08,OnDeck,NYC,Data Scientist,1.00,1.00,"$100,000.00"
3/22/2016 1:40,optus,sydney,ios developer,1.00,1.00,"$60,000.00"
3/21/2016 14:27,PayPal,Maryland,Software Engineer,1.00,1.00,"$80,000.00"
3/25/2016 6:14,Reliance Jio,"Mumbai, India",iOS Developer,1.00,1.00,"$405,000.00"
3/21/2016 23:11,Series C Startup,San Francisco,Software Engineer,1.00,1.00,"$109,000.00"
3/21/2016 19:48,Seven West Media,Australia,Data Analyst,1.00,1.00,"$62,000.00"
3/22/2016 17:01,SF,SF,Software,1.00,1.00,"$100,000.00"
3/22/2016 1:07,Small Company,Remote,Software Developer,1.00,1.00,"$70,000.00"
3/22/2016 1:22,small tech company,michigan,devops,1.00,1.00,"$55,000.00"
3/22/2016 6:31,Startup,"Phoenix, AZ",Developer,1.00,1.00,"$62,000.00"
3/21/2016 16:25,Synopsys,"Mountain View, California",Software Engineer  ,1.00,1.00,"$97,000.00"
3/21/2016 15:05,Tableau,"Kirkland, WA",Software Engineer,1.00,1.00,"$86,000.00"
3/21/2016 13:12,Twilio,San Francisco,Software Engineer New Grad,1.00,1.00,"$115,000.00"
7/1/2017 15:54,Twitter,Bos,Sre,1.00,1.00,"$115,000.00"
10/16/2017 20:34,Twitter,Boston,SRE II,1.00,1.00,"$120,000.00"
3/25/2016 9:56,Udacity,Seattle,Community Manager,1.00,1.00,"$70,000.00"
3/21/2016 19:49,UnitedHealth Group,"Minneapolis, Minnesota",Junior Java Developer,1.00,1.00,"$58,000.00"
3/21/2016 13:23,Vertafore,Bothell,Software Engineer in Devops I,1.00,1.00,"$50,000.00"
3/21/2016 14:47,VMware,"Palo Alto, CA",Member of Technical Staff II,1.00,1.00,"$115,000.00"
3/21/2016 15:26,wat,chicago,software developer,1.00,1.00,"$88,000.00"
3/24/2016 9:56,WaterSmart Software,San Francisco,Software Developer,1.00,1.00,"$110,000.00"
3/29/2016 5:42,wuaki.tv,Barcelona,frontend developer,1.00,1.00,"$38,000.00"
3/23/2016 23:16,Blackrock,"San Francisco, CA",Analyst,2.00,1.00,"$70,000.00"
3/21/2016 13:53,Microsoft,Seattle,Software Engineer ,2.00,1.00,"$120,000.00"
3/23/2016 5:12,Name,Khi,Engr,2.00,1.00,"$33,000.00"
3/21/2016 13:40,Optum,"Boston, MA",Junior Systems Engineer,3.00,1.00,"$80,000.00"
6/16/2016 10:35,Kronos Incorporated,"Boston, MA",Software Engineer II,1.00,1.00,"$83,000.00"
3/24/2016 14:11,NCR,Atlanta,Software Engineer,1.00,1.00,"$75,000.00"
3/21/2016 14:56,Microsoft,Redmond,SDE Intern,0.66,1.33,"$90,000.00"
3/21/2016 16:49,iHeartRadio,"New York, NY",Software Engineer,1.00,1.50,"$100,000.00"
3/21/2016 19:50,Tinder,Los Angeles,Data Scientist,1.00,1.50,"$112,500.00"
3/30/2016 4:33,Acxiom,San Francisco,Software Engineer,1.50,1.50,"$140,000.00"
3/21/2016 23:14,Amazon,"Seattle, WA",SDET,1.50,1.50,"$92,000.00"
3/21/2016 22:14,Cisco,San Francisco,Software Engineer,1.50,1.50,"$110,000.00"
3/21/2016 15:52,Consumer Tech Company,Palo Alto,Full stack engineer,1.50,1.50,"$100,000.00"
3/22/2016 1:11,Fast Fashion Retailer,"Stockholm, Sweden",Application Expert,1.50,1.50,"$46,500.00"
3/21/2016 15:53,General Motors,"Chandler, AZ",Software Developer,1.50,1.50,"$61,000.00"
3/21/2016 15:32,IBM,Austin TX,Software Engineer,1.50,1.50,"$86,000.00"
3/21/2016 13:23,Intel,"Hillsboro, Oregon",Computer Hardware Engineer,1.50,1.50,"$72,000.00"
3/21/2016 13:14,McKinsey & Company,San Francisco,Business Analyst,1.50,1.50,"$90,000.00"
3/21/2016 21:14,Microsoft,"Redmond, WA",Software Engineer,1.50,1.50,"$110,000.00"
3/21/2016 16:05,Microsoft,"Redmond, Washington",Software Engineer,1.50,1.50,"$114,500.00"
3/21/2016 21:42,Pariveda Solutions ,Bellevue WA,Consultant 2,1.50,1.50,"$77,000.00"
3/21/2016 13:42,Uber,San Francisco,Software Engineer,1.50,1.50,"$137,000.00"
3/21/2016 15:02,Yelp,SF,Product Manager,1.50,1.50,"$140,000.00"
3/21/2016 19:42,Johns Hopkins university applied physics laboratory,"Laurel, MD, USA",Software developer,1.50,1.60,"$74,500.00"
3/24/2016 11:40,Twitter,SF,Software Engineer 2,1.80,1.80,"$132,000.00"
3/26/2016 11:01,Bench,Vancouver,Software Engineer,0.30,2.00,"$70,000.00"
4/8/2017 13:04,Amazon,Seattle,SDE 1,0.50,2.00,"$120,000.00"
3/21/2016 13:30,Amazon,"Seattle, WA",SDE I,0.50,2.00,"$105,000.00"
3/21/2016 13:55,Amazon,Toronto,SDE1,1.00,2.00,"$80,000.00"
3/21/2016 13:04,Amplify,NYC,Software Engineer,1.00,2.00,"$105,000.00"
3/21/2016 13:39,Anon,Los Angeles,Software Developer,1.00,2.00,"$60,000.00"
3/21/2016 17:45,AOL,Baltimore,Software Engineer,1.00,2.00,"$73,500.00"
3/21/2016 19:06,Autodesk,"Shanghai, China",Senior Software Engineer,1.00,2.00,"$34,000.00"
3/21/2016 13:42,City of College Station,"College Station, TX",Systems Analyst,1.00,2.00,"$51,000.00"
3/21/2016 19:53,CSRA,"Falls Church, VA, USA",Business Analyst Intern,1.00,2.00,"$44,000.00"
3/21/2016 19:53,CSRA,"Falls Church, VA, USA",Business Analyst Intern,1.00,2.00,"$44,000.00"
8/22/2016 13:24,Digimarc,Portland,Software Engineer,1.00,2.00,"$72,500.00"
3/21/2016 20:43,Ecommerce Company,Greater Boston Area,Software Engineer II,1.00,2.00,"$120,500.00"
3/21/2016 14:25,Edgecase,Austin,Web Developer,1.00,2.00,"$55,000.00"
3/21/2016 14:10,Facebook,Unknown,Software Engineer,1.00,2.00,"$105,000.00"
3/21/2016 15:22,Fever,Madrid,Backend engineer,1.00,2.00,"$35,000.00"
3/25/2016 15:42,French start up,Paris,Software engineer,1.00,2.00,"$40,000.00"
3/21/2016 17:52,Google,Mountain View,Software Engineer,1.00,2.00,"$110,000.00"
3/21/2016 23:14,Google,Mountain View,SE (level 4),1.00,2.00,"$145,000.00"
3/21/2016 18:29,Google,"Pittsburgh, PA",Software Engineer II,1.00,2.00,"$97,000.00"
3/21/2016 17:37,Government,DC,EE,1.00,2.00,"$102,000.00"
3/22/2016 19:40,Gusto,San Francisco,Software Engineer,1.00,2.00,"$104,500.00"
3/23/2016 6:59,HomeNet Automotive,"Exton, PA",Software Engineer I,1.00,2.00,"$60,000.00"
3/21/2016 14:29,InterviewJet,New York City,Head of Talent,1.00,2.00,"$50,000.00"
3/21/2016 13:27,"Justice Systems, Inc","Albuquerque, NM",Software Engineer,1.00,2.00,"$51,000.00"
3/21/2016 19:34,Lancaster General Hospital,"Lancaster, PA",IT Helpdesk,1.00,2.00,"$31,000.00"
3/21/2016 13:49,Luminoso,"Cambridge, MA",Software Engineer,1.00,2.00,"$75,000.00"
3/21/2016 13:54,MathWorks,Natick,Software Enginee,1.00,2.00,"$70,000.00"
3/22/2016 18:28,Microsoft,"Redmond, WA",Intern,1.00,2.00,"$90,000.00"
3/21/2016 13:43,Netlight Consulting,"Stockholm, Sweden",Consultant,1.00,2.00,"$52,200.00"
3/21/2016 14:01,NIEHS,"Durham, NC",Software Developer,1.00,2.00,"$68,000.00"
3/21/2016 15:14,Orange County Startup,"Orange County, CA",Front End Developer,1.00,2.00,"$72,500.00"
3/22/2016 7:51,Orbital ATK,"Wallops Island, Virginia",Associate Electrical Engineer,1.00,2.00,"$65,850.00"
3/21/2016 14:56,Paylocity,Remote,Software Engineer,1.00,2.00,"$86,500.00"
3/21/2016 13:30,Picwell,Philadelphia,Data Scientist,1.00,2.00,"$75,000.00"
3/21/2016 20:18,Plangrid,SF,Software Engineer,1.00,2.00,"$120,000.00"
3/21/2016 14:24,Segment,San Francisco,Operations,1.00,2.00,"$105,000.00"
3/22/2016 6:31,self-employed,Melbourne,Software Engineer,1.00,2.00,"$150,000.00"
3/21/2016 15:28,Staples ,San francisco,Jr software engineer ,1.00,2.00,"$85,000.00"
3/21/2016 13:45,startup,Austin,Software Engineer,1.00,2.00,"$85,000.00"
3/21/2016 14:36,Startup,Berkeley,Firmware Engineer,1.00,2.00,"$90,000.00"
3/21/2016 16:00,StartUp,Redwood City,Software Engineer / Data Scientist,1.00,2.00,"$105,000.00"
3/21/2016 14:09,State Farm,"Phoenix, Az",Software Developer,1.00,2.00,"$63,000.00"
3/21/2016 13:54,Tealium,San Diego,Software Deveoper,1.00,2.00,"$55,000.00"
3/22/2016 3:53,Teradata,Atlanta,Professional Services Consultant,1.00,2.00,"$67,750.00"
3/21/2016 14:44,UMBC Imaging Research Center,"Baltimore, MD",Faculty Research Assistant,1.00,2.00,"$42,000.00"
3/21/2016 13:50,United States Government,"Fayetteville, AR",IT Technician,1.00,2.00,"$49,300.00"
3/21/2016 13:45,Mobiquity Inc,"Gainesville, Fl",iOS Developer,1.25,2.00,"$55,000.00"
3/21/2016 13:56,N/A,"San Francisco, CA",Software Engineer II,1.25,2.00,"$97,000.00"
3/22/2016 5:46,Bullhorn,Boston,Software Engineer,1.50,2.00,"$55,000.00"
3/21/2016 13:07,NBC Universal,New York,Senior Analyst,1.50,2.00,"$55,000.00"
3/21/2016 13:41,Oracle,London,Developer,1.50,2.00,"$46,000.00"
3/21/2016 13:05,Purdue University,"West Lafayette, IN",Web Developer,1.50,2.00,"$60,000.00"
3/21/2016 14:10,Startup,NYC,Sr. Ops Analyst,1.50,2.00,"$70,000.00"
3/21/2016 16:15,Accenture,San Francisco,Technology Consultant,2.00,2.00,"$105,000.00"
3/21/2016 14:18,Accenture,Washington DC,Analyst,2.00,2.00,"$72,000.00"
3/21/2016 14:35,Akamai,Cambridge,Software Engineer,2.00,2.00,"$75,000.00"
3/21/2016 17:02,Akamai,"Cambridge, MA",Software Engineer,2.00,2.00,"$115,000.00"
3/21/2016 21:38,Amazon,London,SDE1,2.00,2.00,"$57,516.00"
3/21/2016 21:47,Amazon,Seattle,SDE I,2.00,2.00,"$92,000.00"
3/21/2016 13:58,Amazon,Seattle,SDE II,2.00,2.00,"$118,000.00"
3/21/2016 23:21,Amazon,Unknown,SDE,2.00,2.00,"$110,000.00"
3/21/2016 13:58,Amazon.com,Seattle,SDE I,2.00,2.00,"$101,000.00"
3/21/2016 15:47,American Family Insurance,"Madison, WI",Data Scientist,2.00,2.00,"$120,000.00"
3/21/2016 14:20,Apple,Sunnyvale,Software Engineer,2.00,2.00,"$118,000.00"
3/21/2016 14:56,Bloomberg LP,"New York, NY",Senior Software Egnineer,2.00,2.00,"$120,000.00"
3/21/2016 23:24,Boeing,"Seattle, WA",DevOps - IT Rotation Program,2.00,2.00,"$72,000.00"
3/21/2016 20:15,Cerner,"Kansas City, MO",System Engineer,2.00,2.00,"$61,000.00"
3/22/2016 20:33,D2L,"Kitchener, ON",Software Developer,2.00,2.00,"$70,000.00"
3/21/2016 14:10,DirecTV,Los Angeles,Software Engineer,2.00,2.00,"$80,000.00"
3/21/2016 20:25,Direxion,New york,Trader,2.00,2.00,"$65,000.00"
3/21/2016 14:24,Eastman Chemical Company,"Kingsport, TN",Accountant,2.00,2.00,"$62,000.00"
3/22/2016 1:59,Education IT,Sydney,Junior Software Developer,2.00,2.00,"$45,000.00"
3/21/2016 17:44,Expedia,Vancouver,Software Developer,2.00,2.00,"$70,000.00"
3/21/2016 21:52,Facebook,New York City,Software Engineer,2.00,2.00,"$140,000.00"
3/21/2016 20:03,Faithlife Corp,"Bellingham, WA",Software Engineer,2.00,2.00,"$75,000.00"
3/21/2016 13:59,Google,Mountain View,Software engineer,2.00,2.00,"$110,000.00"
3/21/2016 13:28,Google,Mountain View,Software Engineer II,2.00,2.00,"$131,000.00"
3/21/2016 17:32,Google,"Mountain View, CA",SWE,2.00,2.00,"$160,000.00"
9/29/2016 20:51,Google,San Francisco,Software,2.00,2.00,"$100,000.00"
3/21/2016 15:51,Halo Neuroscience,San Francisco,Engineer,2.00,2.00,"$82,000.00"
3/21/2016 16:29,IBM,"Austin, TX",Software Engineer,2.00,2.00,"$82,000.00"
3/22/2016 6:16,IBM,"Durham, NC",Software Engineer,2.00,2.00,"$75,000.00"
3/21/2016 16:40,IBM,Germany,IT Architect Mobile Solutions,2.00,2.00,"$51,000.00"
3/25/2016 14:08,IBM,Toronto,Database developer,2.00,2.00,"$80,000.00"
3/21/2016 18:21,Indiegogo,"San Francisco, CA",Software Engineer,2.00,2.00,"$120,000.00"
3/21/2016 14:12,Intel Corporation,"Folsom, CA",Application Developer,2.00,2.00,"$74,000.00"
3/21/2016 13:37,Interactive Development Agency,Salt Lake City,Software Developer,2.00,2.00,"$60,000.00"
3/22/2016 2:23,IT Minds,"Copenhagen, Denmark",IT Consultent,2.00,2.00,"$60,000.00"
3/21/2016 15:13,LinkedIn,"Mountain View, CA",Senior Software Engineer,2.00,2.00,"$150,000.00"
3/21/2016 13:12,Loyalty New Zealand,"Wellington, New Zealand",Software Engineer,2.00,2.00,"$50,000.00"
3/21/2016 13:41,Microsoft,"Redmond, WA",Software Developer,2.00,2.00,"$120,000.00"
3/21/2016 17:58,Microsoft,"Redmond, WA",PM II,2.00,2.00,"$124,000.00"
3/21/2016 14:13,Nvidia,Santa Clara,Software Engineer IC2,2.00,2.00,"$115,000.00"
3/21/2016 14:49,NVIDIA,Santa Clara,Software Engineer,2.00,2.00,"$125,000.00"
3/21/2016 13:28,Pariveda Solutions,Dallas,Consultant 2,2.00,2.00,"$77,000.00"
3/21/2016 21:42,PayPal,Boston,Android Developer (Soft Eng II),2.00,2.00,"$100,000.00"
3/21/2016 13:50,RefME,London,Head of Mobile,2.00,2.00,"$45,000.00"
3/21/2016 13:58,Startup,"Cambridge, MA",Engineer,2.00,2.00,"$130,000.00"
3/22/2016 17:35,startup,"San Francisco, CA",Software Engineer,2.00,2.00,"$130,000.00"
3/21/2016 18:54,Startup-ish,"San Jose, CA",Member of Technical Staff,2.00,2.00,"$135,000.00"
3/21/2016 17:30,Stripe,San Francisco,Software Engineer,2.00,2.00,"$160,000.00"
3/21/2016 13:35,Test,Boston,Test,2.00,2.00,"$80,000.00"
3/21/2016 16:50,The climate corporation,San Francisco,Software engineer 2,2.00,2.00,"$120,000.00"
3/23/2016 9:37,The Newark Public Schools,"Newark, NJ, United States of America",Senior Analyst,2.00,2.00,"$62,000.00"
3/21/2016 13:04,ThoughtWorks,Chicago,"Software Developer, Consultant",2.00,2.00,"$78,000.00"
3/22/2016 12:08,Wipro,Bangalore,Project Engineer,2.00,2.00,"$400,000.00"
3/21/2016 20:00,Yelp,SF,SWE,2.00,2.00,"$130,000.00"
3/25/2016 9:34,Zayo,Boulder,Operations Analyst,2.00,2.00,"$45,000.00"
3/22/2016 4:27,Curtiss-Wright,"Hatfield, PA",Lead Software Development Engineer,3.00,2.00,"$73,000.00"
12/22/2016 21:24,Microsoft,Redmond,Software Developer 2,6.00,2.00,"$122,000.00"
3/21/2016 14:38,Tasties,San Francisco,Sveeeeeeeeetrs Peeeeeeeeetrs,10.00,2.00,"$100,000.00"
3/21/2016 13:11,Social Tables,Washington DC,Engineer,<1,2.00,"$80,000.00"
3/22/2016 5:10,Amazon,Toronto,Software Development Engineer,1.00,2.50,"$98,000.00"
3/21/2016 20:10,Demandbase,San Francisco,Software Engineer,1.00,2.50,"$117,000.00"
3/21/2016 20:32,Google,San Francisco,Software Engineer,1.00,2.50,"$123,000.00"
3/22/2016 6:24,Hughes,DC Metro Area,Software Engineer 1,1.00,2.50,"$72,000.00"
3/21/2016 13:14,Startup,"San Francisco, CA",Software Engineer,1.00,2.50,"$100,000.00"
3/21/2016 14:26,TransferWise,London,Software Engineer,1.00,2.50,"$45,000.00"
3/21/2016 16:05,AltSchool,San Francisco,Full Stack Engineer,1.50,2.50,"$105,000.00"
3/21/2016 13:33,Evertec,Puerto Rico,Software Developer,1.50,2.50,"$40,000.00"
3/21/2016 14:14,Google,mtv,software engineer,1.50,2.50,"$108,000.00"
3/21/2016 14:21,IBM,"Hursley, UK",Graduate Software Developer,1.50,2.50,"$44,000.00"
6/18/2016 3:01,Pusher,London,Platform Engineer,1.50,2.50,"$60,000.00"
3/23/2016 23:15,Startup,Vancouver,Full Stack Developer,1.50,2.50,"$48,000.00"
12/24/2016 11:57,Amazon,Seattle,Software Development Engineer I,2.00,2.50,"$105,000.00"
3/21/2016 15:31,FutureAdvisor,San Francisco,Software Engineer,2.00,2.50,"$110,000.00"
3/21/2016 23:27,Cisco,San Jose,IT Engineer,2.50,2.50,"$88,000.00"
3/22/2016 6:26,Ernst & Young,"Dallas, TX",Senior - Risk Assurance,2.50,2.50,"$75,000.00"
3/23/2016 15:47,IBM,"Poughkeepsie, NY",Software Engineer,2.50,2.50,"$75,000.00"
3/21/2016 13:11,Intel ,"Hillsboro, Oregon",Product Development Engineer,2.50,2.50,"$82,000.00"
3/21/2016 14:49,Knewton,New York City,Senior Software Engineer,2.50,2.50,"$140,000.00"
3/21/2016 13:24,Twilio,San Francisco,Senior Software Engineer,2.50,2.50,"$132,000.00"
3/21/2016 13:29,Garmin,"Olathe, KS",Software Engineer 2,2.75,2.75,"$72,200.00"
3/25/2016 11:08,AAA,"Orlando, Florida",Mobile Developer,0.25,3.00,"$60,000.00"
3/21/2016 14:14,Wovenware,"San Juan, PR",Software Developer,0.25,3.00,"$45,000.00"
3/21/2016 15:47,Adobe,San Francisco,Quality Engineer,0.50,3.00,"$111,360.00"
3/21/2016 13:56,Google,London,engineer,0.50,3.00,"$65,000.00"
3/21/2016 17:36,Insurance Company,IL,Software Developer,0.50,3.00,"$62,000.00"
3/21/2016 18:27,Pre-Series-B Transportation Startup,Los Angeles,Data Engineer,0.50,3.00,"$82,500.00"
3/21/2016 14:35,AGL Energy,"Melbourne, Australia",Analyst,1.00,3.00,"$90,000.00"
3/21/2016 16:53,AI Startup,Toronto,R&D Engineer,1.00,3.00,"$110,000.00"
3/21/2016 15:24,Airbnb,San Francisco,Software Engineer,1.00,3.00,"$110,000.00"
3/21/2016 13:46,An Unnamed Advertising Agency,"Halifax, NS, Canada",DevOps Lead,1.00,3.00,"$53,000.00"
3/21/2016 14:04,AOL,Los Angeles,Senior Product Manager,1.00,3.00,"$120,000.00"
3/22/2016 4:36,BestBuy,Richfield MN,Senior Web Engineer,1.00,3.00,"$110,000.00"
3/21/2016 16:22,BW,"Vancouver, BC",Web Developer,1.00,3.00,"$60,000.00"
3/21/2016 16:08,CARFAX,Columbia MO,Software Developer,1.00,3.00,"$70,000.00"
3/21/2016 14:25,CenturyLink,"Denver, CO",Software Engineer,1.00,3.00,"$80,000.00"
3/21/2016 14:04,COMPAS Technology LLC,San Francisco,Full Stack Software Engineer,1.00,3.00,"$75,000.00"
3/21/2016 15:57,Docker Ecosystem Company,San Francisco,Developer Evangelist,1.00,3.00,"$130,000.00"
3/22/2016 0:08,Dr.Agarwals Eye Hospital,Chennai,Vice President,1.00,3.00,"$240,000.00"
3/21/2016 13:46,D-wave,Vancouver BC,Algorithmic Software Developer,1.00,3.00,"$90,000.00"
3/21/2016 20:01,Everlane,San Francisco,Software Engineer,1.00,3.00,"$105,000.00"
3/21/2016 16:06,Evernote,Redwood City,Software Engineer,1.00,3.00,"$105,000.00"
3/21/2016 13:26,Facebook,Menlo Park,Software Engineer,1.00,3.00,"$150,000.00"
3/21/2016 13:37,Facebook,Menlo Park,Software Engineer,1.00,3.00,"$152,000.00"
3/21/2016 21:07,Facebook,New York,Software Engineer,1.00,3.00,"$220,000.00"
3/21/2016 18:06,Fuze,Cambridge MA,Support Level 2,1.00,3.00,"$43,000.00"
3/21/2016 23:22,GE Digital,"San Ramon, CA",Software Business Operations Analyst ,1.00,3.00,"$95,000.00"
3/21/2016 23:56,Grab,Singapore,Product Manager,1.00,3.00,"$90,000.00"
3/21/2016 13:30,IGS Energy,"Columbus, OH",Application Developer,1.00,3.00,"$65,000.00"
3/22/2016 8:13,LinkedIn,Sunnyvale,Senior Software Engineer,1.00,3.00,"$159,000.00"
3/21/2016 18:48,Local Startup,"Ann Arbor, MI",Project Manager,1.00,3.00,"$90,000.00"
3/21/2016 14:09,mediamath,Chicago,sr engagement associate,1.00,3.00,"$57,000.00"
3/21/2016 14:49,Metromile,San Fransico,Senior Mobile Developer,1.00,3.00,"$145,000.00"
3/21/2016 14:22,Microsoft,"Redmond, WA",Service Engineer,1.00,3.00,"$105,000.00"
3/21/2016 13:35,Missouri University of Science and Technology,"Rolla, MO, USA",Secondary Cluster Administrator,1.00,3.00,"$43,000.00"
3/21/2016 13:27,MRI Software LLC,"Solon, OH",Software Engineer,1.00,3.00,"$48,500.00"
3/21/2016 14:52,Pandora,San Francisco,Software Engineer,1.00,3.00,"$115,000.00"
3/21/2016 14:09,Plain Vanilla,Iceland,Software Developer,1.00,3.00,"$62,000.00"
3/21/2016 14:37,prominent consultancy,New York City,Mobile Developer,1.00,3.00,"$111,000.00"
3/21/2016 14:26,Protolabs,Minnesota,Analyst,1.00,3.00,"$45,000.00"
4/2/2016 16:41,PSCU,Tampa,ETL Developer,1.00,3.00,"$89,000.00"
